2025-10-22 14:31:19,823 - INFO - Registering strategy: consolidation_breakout
2025-10-22 14:31:19,829 - INFO - TradeEngine initialized with account balance: 10000.00
2025-10-22 14:31:19,829 - INFO - Processing data for EURUSD=X on 2025-10-20
2025-10-22 14:31:20,688 - INFO - Generating payload for candle at 2025-10-20 05:20:00+00:00. ctx_data length: 77. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1675423383712769, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
2025-10-22 14:31:20,690 - INFO - Generating payload for candle at 2025-10-20 05:25:00+00:00. ctx_data length: 78. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1676785945892334, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
2025-10-22 14:31:20,692 - INFO - Generating payload for candle at 2025-10-20 05:30:00+00:00. ctx_data length: 79. row_data: {'Adj Close': 1.1678149700164795, 'Close': 1.1678149700164795, 'High': 1.1678149700164795, 'Low': 1.1676785945892334, 'Open': 1.1676785945892334, 'Volume': 0.0}
2025-10-22 14:31:20,693 - INFO - Generating payload for candle at 2025-10-20 05:35:00+00:00. ctx_data length: 80. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1679514646530151, 'Low': 1.1676785945892334, 'Open': 1.1679514646530151, 'Volume': 0.0}
2025-10-22 14:31:20,695 - INFO - Generating payload for candle at 2025-10-20 05:40:00+00:00. ctx_data length: 81. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1678149700164795, 'Low': 1.1676785945892334, 'Open': 1.1676785945892334, 'Volume': 0.0}
2025-10-22 14:31:20,697 - INFO - Generating payload for candle at 2025-10-20 05:45:00+00:00. ctx_data length: 82. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1678149700164795, 'Low': 1.1676785945892334, 'Open': 1.1676785945892334, 'Volume': 0.0}
2025-10-22 14:31:20,700 - INFO - Generating payload for candle at 2025-10-20 05:50:00+00:00. ctx_data length: 83. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1678149700164795, 'Low': 1.1675423383712769, 'Open': 1.1678149700164795, 'Volume': 0.0}
2025-10-22 14:31:20,704 - INFO - Generating payload for candle at 2025-10-20 05:55:00+00:00. ctx_data length: 84. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1676785945892334, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
2025-10-22 14:31:20,705 - INFO - Generating payload for candle at 2025-10-20 06:00:00+00:00. ctx_data length: 85. row_data: {'Adj Close': 1.1672697067260742, 'Close': 1.1672697067260742, 'High': 1.1674060821533203, 'Low': 1.1671334505081177, 'Open': 1.1674060821533203, 'Volume': 0.0}
2025-10-22 14:31:20,707 - INFO - Generating payload for candle at 2025-10-20 06:05:00+00:00. ctx_data length: 86. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1668611764907837, 'Open': 1.1671334505081177, 'Volume': 0.0}
